nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
La Algodonera;10.377063569599711, -75.47153524695628;A103, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;La Algodonera
La Batea Mz A Lt 7;10.365309590138269, -75.47702131837926;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;La Batea Mz A Lt 7
La Caci-K Cll30 50A-115;10.400425184743513, -75.5014435562108;C001, X103;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;La Caci-K Cll30 50A-115
La Campiña Mz 49 Lt 16;10.391784167517926, -75.5000169589297;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;La Campiña Mz 49 Lt 16
La Campiña Mz 56 Lt 8;10.391409539989679, -75.50289764907264;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;La Campiña Mz 56 Lt 8
La Cuchilla;10.404068994089442, -75.5214681438831;C001, X102, X105;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;La Cuchilla
Los Corales;10.385383789262626, -75.50082497047762;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Los Corales
Los Jardines;10.379716415421793, -75.48319078978919;A105, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Los Jardines
Los Jardines MG2 L16;10.379864160635792, -75.48349119751941;A105, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Los Jardines MG2 L16
Los Trupillos;10.363821511254924, -75.48148452310927;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Los Trupillos
Martinez Martelo Dg 22 No. 20-50;10.408915168844095, -75.52163443998808;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Martinez Martelo Dg 22 No. 20-50
Mitsubishi;10.407952040755811, -75.51442947217454;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Mitsubishi
MonteBianco;10.399260116124587, -75.4801672696698;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;MonteBianco
Mz 17 Lt 22;10.382920303838759, -75.49686536021271;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Mz 17 Lt 22
Mz 24 Lt 38;10.399800483133381, -75.51647922367495;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Mz 24 Lt 38
Mz 24 Lt 38;10.399779170506743, -75.51648404443888;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Mz 24 Lt 38
Mz 49 Lt 16;10.391783506107716, -75.50002969983427;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Mz 49 Lt 16
Mz 56 Lt 8;10.391403605305063, -75.50292648381279;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Mz 56 Lt 8
Mz 68 Lt 1;10.37996078849785, -75.49694851188207;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Mz 68 Lt 1
Mz 96 Lt 28 Calamares;10.39637990197084, -75.4987134037092;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Mz 96 Lt 28 Calamares
Mz 96 Lt 28 Calamares;10.3963742958764, -75.49871575074572;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Mz 96 Lt 28 Calamares
;;;;;;;;
Mz E Lt 10;10.391846819329782, -75.4988012482434;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Mz E Lt 10
Mz U Lote 2( Las Lomas);10.402190423452263, -75.51152195782484;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Mz U Lote 2( Las Lomas)
Napoleon Perea;10.389822650570624, -75.49400109773724;A108, A111, C001, X102;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Napoleon Perea
